,Tweets
902,@TavengwaLast @Tendy263 Sorry for responding late Colonel. May you check your DM. ^EVM
903,"@fuechitare Hey @fuechitare, thank you for contacting us. Kindly DM your mobile number and nature of the challenge… https://t.co/yMgSVRLkPc"
904,"@Beniehitty Hi @Beniehitty, we apologise for the experience. Please note that the challenges that are being faced o… https://t.co/nKO2ugfe5F"
905,@jayaguru_ZW We appreciate and value your feedback @jayaguru_ZW! Thank you for your support. ^WS
906,@vee_wacho Hi @vee_wacho! The YoMix App is temporarily offline for an upgrade. We will advise once service has been… https://t.co/5NURV7bOwD
907,"@deegovere Hey there, did you try the view token option? ^EVM"
908,@Custom_Teees Noted Aldrin. Kindly check your DM for our response. ^EVM
909,@JessieBlueJnr Hey @JessieBlueJnr! Kindly provide your details via DM so that we may assist. ^WS
910,@SChiruka1 @SoSoCoolBez @econetzimbabwe @EcoCashZW Thank you Simon for contacting us. ^WS
911,"@bryain_elijah Hey @bryain_elijah, check your DM for a recent chat! ^WS"
912,"@vuyiee_96 Hey there, may we know the challenge that you are facing. ^EVM"
913,"@TanakaMunengami Hi there, tinokumbirawo mutitumire DM ine number dzenyu, amount ne transaction date. ^EVM"
914,"@JessieBlueJnr Hey @JessieBlueJnr, share with us via DM your mobile number, date and amount so that we may assist. ^WS"
915,"@nigelkata Hey Nigel, tapindura DM yenyu. Sorry for the late response. ^EVM"
916,"@titiacious Makadini Tsitsi, tinotenda zvikuru nekuti bata kwamaita. Muve nezuva rakanakisa. ^WS"
917,"@kanejamu123 Hey there, please note that the Whatsapp bundles do not work when you are on International Roaming. ^EVM"
918,@tashinga1 👍
919,"@_Dingz @econetzimbabwe Hey there, may we know if you are still facing this challenge. ^EVM"
920,"@MaNyundo04 Hey there, may you provide us with a number that we can call you on. ^EVM"
921,@gomaninkwende @DebraWakanaka @EcoCashZW may you kindly assist @gomaninkwende. ^EVM
922,"@reason_zw Hello there, we are sorry you feel this way. How may we assist you? ^EVM"
923,@lyn46244173 Hi @lyn46244173. Kindly check your DM for our response. ^TAM
924,"@noberthy Hie Shattah, may you kindly DM us your mobile number, bundle value, and device name so we can check and assist. ^TAM"
925,"@AndrewBakuza Makadii Andrew, tinehurombo nedambudziko iroro, azvizi zvatinotarisira kuti zviitike, vanamazvikokota… https://t.co/oTxgapVkh8"
926,"@Tendaip03 Hie @Tendaip03, our sincere apologies for the unpleasant experience. Kindly note that our technical team… https://t.co/2YGvdgoQMx"
927,"@RueSync Hi Rue, we apologize for intermittent recharge failure on *143#, our technical team is working on resolving the issue. ^TAM"
928,"@leevibes Hi, there @leevibes. Kindly call on Steward bank helpline (08088888) or engage @stewardbank here on twitt… https://t.co/2ggxJpJt6W"
929,"@MunyaSimango Hi Munya, kindly check your DM for our response. ^TAM"
930,@seanlgenius Kindly check your DM for the response.^TAM
931,"@Custom_Teees Hey, we are sorry about the experience. Please, may you send us the following details so we can assis… https://t.co/Yp7oLNaihf"
932,"@_idaimuss Hie  @_idaimuss, kindly refer to your DM for our response. ^SC"
933,@GeoffreyNjogu 😌
934,@VongieFrooty DM checked Vongai. ^TAM
935,@takunick You welcome @takunick. We value your feedback and we are committed to delivering the best service. ^TAM
936,"@Natemeja Taswera hedu @Natemeja, tingakubatsirai sei nhasi? ^TAM"
937,"@AndyTheoBi Hi @AndyTheoBi, our apologies for the challenge, may you kindly DM us your mobile number, bundle value,… https://t.co/lgQpPztAy6"
938,"@elliot_kuda Replying to @elliot_kuda
May you kindly DM your mobile number, amount you wish to transfer, bank name… https://t.co/Hx4sOPBnDk"
939,"@tynoe_gee @EcoCashZW Hie TG, kindly check your DM for our response. ^SC"
940,"@lindie_maphosa Hi @lindie_maphosa, we have responded to your DM, kindly check. ^TAM"
941,"@takumandura Hie @takumandura, kindly check your DM for our response. ^SC"
942,"@KudaParadza Hi there Kudakwashe, kindly check your DM for our response. ^TAM"
943,@stimak32 Makadini Cde Android? Tinehurombo nedambudziko ramasangana naro. Tanga tichikumbirawo kuti mutarisewo mhi… https://t.co/Vc9Lt8HkBp
944,"@jtembo Hi @jtembo, we sincerely apologize for the delay, please note, our technical team is working tirelessly to resolve the issue. ^TAM"
945,"@Ngoni_Mupari Thank you, Dearlove. We value your suggestions and ideas that improve our products and services. ^TAM"
946,@MnasheXrixxy Makadini @MnasheXrixxy? Tinokutendai nekutibata kwamaita. Tanga tichikumbirawo nhamba dzenyu dze nhar… https://t.co/NAtivNvcJ8
947,@txax_DaChief Hi DaChief. Kindly check your DM for the response. ^TAM
948,"@charmainemafik Hie Charmaine. Kindly note, we have re-engaged EcoCash team for assistance with the issue. We will… https://t.co/KW0WrfjAJ2"
949,"@MunyaSimango @econetzimbabwe @fayaz_king @EcoCashZW Hie @MunyaSimango, our sincere apologies for the unpleasant ex… https://t.co/cmVsRs3Raz"
950,"@GeoffreyNjogu Hi Geoffrey, yes it is working. If you are facing challenges, kindly DM us the error messages you are getting. ^TAM"
951,"@Tafstan Hie Tafadzwa, kindly check your DM for our response. ^SC"
952,"@Tendy263 We sincerely apologize for the delay, please note, our technical team is working tirelessly to resolve the issue. ^TAM"
953,"@KadzereAbi Hie Abi, sorry we are not able to assist on this platform. Kindly visit your nearest Econet shop with y… https://t.co/ZrWFlnEAGr"
954,"@MatopeNigell Welcome, Buddie. ^SC"
955,"@casanovatynashe Hie Tinashe, kindly DM your number and share your experience so that we may assist. We look forwar… https://t.co/I1iQHsB3tm"
956,"@Blessin24627920 Hie Blessing, our sincere apologies for the experience. Kindly DM your mobile number, date of the… https://t.co/QIrTTFqMjT"
957,"@Russ_Wacho Hie @Russ_Wacho, our sincere apologies for the late response. Kindly DM your mobile number so that we m… https://t.co/sD0T6uHMUN"
958,@KadzereAbi Takupindurai Abi. Tinokumbirawo mutarise ku DM. ^TAM
959,@NomatterMhangar We apologize for intermittent recharge challenges Nomatter. Our technical team is working on the issue. ^TAM
960,"@Jones_Mwinjilo Hie Johnson, kindly check your DM for our response. ^SC"
961,"@tmpala71 Hi Thulani, please note you can now DM us. We have also responded via your DM. ^TAM"
962,@sensei_gu2 Makadii. Tatumira mhinduro mu DM. ^TAM
963,"@KadzereAbi Hi, there Abi. Kindly refer to your DM for our response. ^TAM"
964,@mrjendero Makadii @mrjendero. Tingakubatsirei sei muzuva ranhasi? ^TAM
965,"@tachie06 Hie Arnold, kindly check your DM for our response. ^SC"
966,@MotoMuzhinji We value your feedback and we are committed to delivering the best service ever. ^TAM
967,@MotoMuzhinji Hi there @MotoMuzhinji. Thank you for getting in touch with us. Please note that EcoLedger is not an… https://t.co/UtdAR84iWq
968,@Junnymars Our sincere apologies for the late response Junny. Kindly check your DM for our response. ^TAM
969,"@majola_joel Hie Joel, kindly check your DM for our response. ^SC"
970,"@Matombo9 Hie Matombo, our sincere apologies for the experience. Kindly note that we have escalated the issue to th… https://t.co/otZCnK7b4F"
971,@mrjendero 😮😮
972,@nyamadzawoJo You are welcome. You can refer to your DM for our response. ^TAM
973,@VongieFrooty Hi @VongieFrooty. Our apologies for your experience on our network. Kindly DM your mobile number so t… https://t.co/OGajsGy9d7
974,"@wenyuchaiye Hi there @wenyuchaiye, thank you for taking our call, we glad we managed to assist. ^TAM"
975,"@pjay0575 Hie PJay, kindly check your DM for our response. ^SC"
976,@qhawekhazijoy Our apologies for your experience on our network @qhawekhazijoy. Kindly DM your mobile number so tha… https://t.co/Lk4B3UTAGt
977,"@ZvenyikaChindo3 Hie @ZvenyikaChindo3, kindly check your DM for our response. ^SC"
978,"@pjay0575 Hi there, kindly check your DM for our response. ^TAM"
979,"@zvobgoluckson1 Hie @zvobgoluckson1, kindly check your DM for our response. ^SC"
980,"@ashleykays7 Hi Ashley, our apologies for the experience, we have engaged our technical team to check and assist. ^TAM"
981,@paULsimbah You welcome. ^TAM
982,"@katoma_try Hie Toxy, kindly note that your account is not barred. Please confirm if you managed to get assistance. ^SC"
983,@nigelkata Makadini Nigel? Tiziviseiwo dambudziko ramakasangana naro uyezve nezuva racho kuti tikwanise kukubatsirai zvizere. ^TBR
984,"@MatopeNigell Hey Buddie, please note that you can now track your own usage by registering My Web Selfcare.. Please… https://t.co/TpOOVUUJps"
985,@SirMekaldo Hey @SirMekaldo. The reversal will be made at the earliest possible time. Kindly bear with us during this time. ^TBR
986,@Kuks_dj https://t.co/U3QA5gRKsW
987,"@tammy_chie Hello Tamara, kindly DM us your mobile number so that we can verify if Out of Bundle Browsing is activated on your number. ^VM"
988,@SMcchils Hello Musa. Kindly check your DM for our response. ^VM
989,@Mhukahuru4 Makadini Alan? Tipeiwo reference number yamakapihwa pamakasvitsa dambudziko iri kwatiri kuti tikwanise… https://t.co/q8MV2IKPk4
990,"@FBusvumani Hey Buddie, please check your DM for our response. ^VM"
991,"@Mhukahuru4 Hie, kindly check your DM for the response.^TAM"
992,"@phillip_sinacho You are welcome Buddie, enjoy the rest of your day. ^VM"
993,@Jt_Ballistk 😉
994,"@pjay0575 Hie PJay, kindly let us know the amount you are trying to transfer and the name of your Bank. ^VM"
995,"@thrustwell Hey Buddie, kindly check your DM for our response. ^VM"
996,"@Mickey___88 Hie Buddie, our sincere apologies for the unpleasant experience. Kindly note that our technical team i… https://t.co/8UxEINdIOS"
997,"@forwardchigaro We appreciate the feedback Forwards, and we thank you for your continued support. ^TBR"
998,"@takumandura Hi @takumandura, kindly DM your mobile number, number bought for, date of transaction and type of bund… https://t.co/jXZv6LBJUP"
999,"@Citizen_of_Man Hi buddie, kindly check our DM. ^TAM"
1000,@zimrobbie We value your feedback @zimrobbie and we are committed to delivering the best service ever. Thank you fo… https://t.co/9X39RQXdc4
1001,"@nyamadzawoJo Hie Josh, kindly check your DM for our response. ^SC"
1002,"@pjay0575 Hie @pjay0575, our sincere apologies for the experience. Kindly DM your mobile number, bank account numbe… https://t.co/9f22oCyVWZ"
1003,"@tudzaa Makadii @tudzaa, ayisati yadzoka. ^TAM"
1004,"@RobertNdlovu @skhumoyo2000 Hie Sikhumbuzo, kindly check your DM for our response. ^SC"
1005,@Nellaz2015 You welcome
1006,"@phillip_sinacho Hi @phillip_sinacho, for a failed Swipe into Ecocash transaction, you get a letter from the Mercha… https://t.co/v7WkuWe0eg"
1007,@sensei_gu2 Makadini Sensei? Handiwo mashandiro atinotarisira kuti ma bundles edu aite. Tiziviseiwo mhando yebundle… https://t.co/95HLyss7DB
1008,@OwenPangaz You welcome. ^TAM
1009,"@paULsimbah Hi there @paULsimbah, kindly note that we have forwarded the issue to our technical team under ID CSD_2… https://t.co/mBFroQwpmB"
1010,"@Wenharo1 You welcome @Wenharo1, we value your continued support. ^TAM"
1011,@tinenhimba @zvobgoluckson1 Kindly check your DM for our response. ^MM
1012,"@forwardchigaro Hello Forward, please note that the transaction was reversed today. ^TFM"
1013,"@tawandachimuzi2 Noted, we are retrieving your token. We will advise once it is available. ^TFM"
1014,"@Kris_Kuda Hey Buddie, if you have unsubscribed and the service has persisted. Please DM us your mobile number so t… https://t.co/tkvQBFsyCW"
1015,"@pjay0575 Hie @pjay0575, may we have your mobile number so that we can check and advise accordingly. ^TFM"
1016,@GeoffreyNjogu You are welcome. 🤝
1017,@Nellaz2015 DM has been responded to @Nellaz2015. ^MM
1018,"@fanuel_tau @skhumoyo2000 @Potraz_zw Makadini @fanuel_tau, tinokumbirawo mutarise kuDM kwenyu. ^MM"
1019,"@GeoffreyNjogu The funds were reversed, you then purchased a token at 14.51. The token is 5041 0188 4118 8261 2883. ^TFM"
1020,"@tg_matongo Hey Buddie, we sincerely apologise for that. Kindly provide us with your mobile number so that we can l… https://t.co/ufWrhJ6CBR"
1021,"@its_tbase Hello King, kindly check your DM for our response. ^VM"
1022,"@MelisaTakaende1 Hi @MelisaTakaende1, kindly DM your experience so that we can assist. ^MM"
1023,"@LilNekony Hey Buddie, kindly check your DM for our response. ^VM"
1024,"@churays Kindly note that if the bundle is already in use, we are not able to convert it to airtime or any other bundle. ^MM"
1025,@dmudita @EcoCashZW kindly assist.
1026,"@ISOIYASA Hi @ISOIYASA, may you kindly DM your mobile number and the error response that you are getting so that we can assist. ^MM"
1027,@joechaks You are welcome @joechaks. ^MM
1028,@GeoffreyNjogu Kindly note that your funds were reversed on 2 May. ^TFM
1029,@ZvenyikaChindo3 @zvobgoluckson1 We value your feedback @ZvenyikaChindo3 and we are addressing the issue. ^MM
1030,@dzimbahwe01 We are sorry about that. ^MM
1031,@GeoffreyNjogu May we have your mobile number.
1032,@PashyMarionatte Thank you for taking our call. ^TFM
1033,"@joechaks Hie Joe, we are reversing the transaction. You will receive a notification once done. ^TFM"
1034,"@Wenharo1 @DebraWakanaka Hi @Wenharo1, apologies for the experience. We are looking into the issue. ^MM"
1035,"@GeoffreyNjogu Hie Geoffrey, thank you for reaching out to us. May you please direct message your mobile number, me… https://t.co/czgvEvqMus"
1036,@ndongwetim 😀
1037,"@tachie06 @MzukuruG @econetzimbabwe Hi @tachie06, kindly confirm if you have tried using the following process to d… https://t.co/a3f47VMnUI"
1038,@jthippo1 Please direct message your mobile number so that we can assist you. ^TFM
1039,"@MuziraTonderai Our apologies, our support team is working on the challenge. ^TFM"
1040,@leemandlamash May you please direct message your mobile number and full query so that we can assist. ^TFM
1041,@vimbie_n Noted @vimbie_n.
1042,"@PashyMarionatte Hie Pashy, may we know the exact challenge you are facing now."
1043,"@EPoraner Hie @EPoraner, please let us know your location and mobile number for assistance. ^TFM"
1044,@Chad_Oz Thank you for clarifying. We have refreshed your connection. May you please restart your phone and test. P… https://t.co/ygTA8p9VcM
1045,"@Mathias22599452 Sorry about that Mathias, please check your messages for our response. ^TFM"
1046,"@LilNekony Hie Perfect, we have responded. ^TFM"
1047,"@elliot_kuda Hie @elliot_kuda, may we know the exact challenge that you have so that we can assist you. ^TFM"
1048,@decimal_lee You are welcome. ^MM
1049,@tashinga1 May you kindly share your mobile number for assistance @tashinga1. ^MM
1050,@munyamj94 Kindly check your DM for our response. ^MM
1051,@Chad_Oz Kindly inform us of the exact challenge that you are facing so that we can assist.
1052,"@BelieveCitizen Hie @BelieveCitizen, we are sorry for the delay. We are following up and we will revert. ^TFM"
1053,"@shaddymhoka1 Sorry, it is not possible. ^TFM"
1054,"@jthippo1 Hie Justin, tokubatsirai sei? ^TFM"
1055,"@MatsikaInnocent Hie Innocent, may you please direct message your mobile number and the full transaction confirmati… https://t.co/ulnW6GnJzL"
1056,@ndongwetim Thank you for the details Timothy. We have noted that airtime indeed did not credit. May you kindly eng… https://t.co/zR2g6XwXcy
1057,@MuziraTonderai Hie Tonderai. may we know your bank name and the error message you are getting when you try to transact? ^TFM
1058,"@tsukwe Hie Tafadzwa, we are changing the Instagram bundle to WhatsApp bundle. You will receive a notification once… https://t.co/3IGztT9voB"
1059,"@zimbabwean1980 Makadini Twister? Tine hurombo nedambudziko irori. Vanotitsigira varikugadzirisa, kana zvichinge zv… https://t.co/SFbYiUwEuE"
1060,"@PrivateDaniels @Techzim Hi @PrivateDaniels, kindly share your mobile number for assistance. ^MM"
1061,@wenyuchaiye Kindly try now.
1062,@CollenSigudu Our apologies once again. Thank you for your patience. ^TFM
1063,@Nellaz2015 Noted with thanks.
1064,"@tafadzwaeugene Hello Tafadzwa, kindly note that your Instagram bundle has been partially used and as such we canno… https://t.co/zxLMcV6OhF"
1065,"@King_Alpha99 Hie Manlee, we are attending to your message. ^TFM"
1066,"@Pimpy21817676 Hi Pimpy, kindly dial *157# and place your request by going to option 9: Manage Account and follow t… https://t.co/z3ulfysJWq"
1067,"@skhumoyo2000 Hello Sikhumbuzo, we sincerely apologise for the unpleasant experience. Kindly DM us your mobile numb… https://t.co/1JmHQREotg"
1068,@GwizaVic @econetzimbabwe @Telecel_Zim The issue is being addressed @GwizaVic. We apologise for the experience. ^MM
1069,"@TinaDonzwa Hie Tina, thank you for getting in touch. Please note that we are working on refunding you. You will re… https://t.co/mM5k6zEQGG"
1070,@OmuhleChichie You are welcome. ^VM
1071,@cactus_jase We have responded @cactus_jase. ^TFM
1072,"@MushureTaurai Hi Taurai, may you kindly DM your mobile number for assistance. ^MM"
1073,"@elder_tsuro Hello Tsuro, noted. ^TFM"
1074,@malodza_zw We are working on it Melody. ^TFM
1075,@nmudzingwaJXN We are sorry to hear about that. May you please direct message your mobile number and email address… https://t.co/ovixlLvG05
1076,"@bryain_elijah Hi @bryain_elijah, we are looking into the issue and a reversal should be done as soon as possible. ^MM"
1077,"@tachie06 Noted, we are attending to it. ^TF M"
1078,@s_maradha We have refreshed your connection. May you please restart your phone and test. ^TFM
1079,"@wenyuchaiye Hie @wenyuchaiye, may you please direct message your mobile number so that we can assist. ^TFM"
1080,"@Prockqid Hie @Prockqid, may you please direct message your mobile number so that we can have a look. ^TFM"
1081,"@nyashacharuka Hello Nyasha, we sincerely apologise for the unpleasant experience. Kindly note that we had a system… https://t.co/QbQDO6sszh"
1082,"@nashescottie Hi @nashescottie, may you kindly DM your mobile number and date of purchase so that we can assist. ^MM"
1083,@ThusoProud15 You are welcome.
1084,@dtmandiopera Please direct message your mobile number and the amount of the transaction so that we can have a look. ^TFM
1085,"@churays The bundle has already connected, we are unable to convert it back to airtime. ^TFM"
1086,@s_maradha Please ensure your message centre number is set to +263770010502. You can check in your message settings. ^TFM
1087,"@RunesuMisheck Hello Shakie, kindly confirm the date of the transaction. ^VM"
1088,@HastingsBasil Kindly check your DM for our response @HastingsBasil. ^MM
1089,"@_mabhikwa Hey Buddie, we have since followed you back. Kindly DM us the requested information. ^VM"
1090,"@tachie06 Sorry to hear, may you please direct message your mobile number so that we can assist. ^TFM"
1091,@ndongwetim Hi Timothy! May you please check your previous tweet for our response. ^TBR
1092,"@slotunechi Hey Solo, we noticed your tweet. Tell us more details about the issue you're experiencing so we can assist you further. ^TBR"
1093,"@dzimbahwe01 Hie Cde Ndaswera, please note that we are working on resolving the issue. ^TFM"
1094,"@nmudzingwaJXN Hie JahNesta, please let us know the exact challenge that you have so that we can assist. ^TFM"
1095,"@noelmadonho Hie Gini, thank you for getting in touch. Please know that we are always here when you need assistance. ^TFM"
1096,"@CeaphasiMutubu1 Hello Ceaphasi, we sincerely apologise for the unpleasant experience. Kindly dial *143# to purchas… https://t.co/46Q06q1DXK"
1097,@CollenTirivamwe Hey Collen. Please note that it's 400 MB for Whatsapp and 200 MB for Pinterest. ^TBR
1098,@larry_jawi Hi Larry. We apologize for the unpleasant experience. May you please let us know the dates on which you… https://t.co/MPOQHwl2Ew
1099,"@ndongwetim Hey Timothy, thank you for getting in touch with us. We have noted that the airtime was not credited. I… https://t.co/HKn8XYywcL"
1100,"@Emulat3perf3ct Hi @Emulat3perf3ct, kindly note that the Yomix application is being upgraded and we will inform you once we are done."
1101,"@Tiwama_TheGreat Hi @Tiwama_TheGreat, thank you for contacting us. We are looking into the issue and we will notify… https://t.co/kbs5Zn8tYg"
1102,"@Makiaveli91 @EcoCashZW Hi @Makiaveli91, may you kindly DM your mobile number, date of purchase, amount and the typ… https://t.co/Ngif3LLOdW"
1103,@noblevimbai Hey Vimbai. That's definitely not the broadband experience we want you to have! May you please DM us y… https://t.co/TnNhXQGFMb
1104,"@stimak32 @Luvhe10 Makadini @stimak32, tinokumbirawo mutarise kuDM kwenyu. ^MM"
1105,"@k_changata Hello Changata, kindly note that the Whatsapp Bouquet now comes with Pintreset. ^VM"
1106,"@zvobgoluckson1 Hello Zvobgo, we sincerely apologise for the unpleasant experience. Kindly let us know if you are s… https://t.co/xGol9v9bdp"
1107,"@SusanNheta Hello Susan, we sincerely apologise for the unpleasant experience. Kindly let us know if you are still… https://t.co/dfGfAsVOvY"
1108,"@churays Hi @churays, may you kindly confirm the bundle that you purchased and state which bundle you would want us to convert it to. ^MM"
1109,"@SusanNheta Hello Susan, we sincerely apologise for the unpleasant experience. Kindly share your experience and you… https://t.co/nlFEgKbidb"
1110,"@dtmandiopera Hie Naughty_Guy, have you already requested for a Virtual Mastercard yet? ^TFM"
1111,@charmainemafik @EcoCashZW kindly assist. ^VM
1112,@shaddymhoka1 Kindly note that the line was recycled due to being idle. Please purchase a new line. ^TFM
1113,"@MasakaNomore Hey Buddie, kindly let us know the error message you are receiving. Kindly take note that you may als… https://t.co/gR9GCdMQ9D"
1114,@CollenSigudu Hi Collen. Please check your DM for our most recent response. ^TBR
1115,"@SirMekaldo Hie @SirMekaldo, we apologise for your experience. Please note that we are working on reversing the fai… https://t.co/uVJl7NjM4O"
1116,"@chifire_rutendo Hey Buddie, we sincerely apologise for the unpleasant experience. Kindly let us know know your mob… https://t.co/BK8OPdtmDZ"
1117,"@TMidlander @EcoCashZW Hi @TMidlander, may you kindly share your mobile number and the platform that you are using… https://t.co/h3uTUHVTz7"
1118,"@tachie06 @Potraz_zw Hi @tachie06, may you kindly dial *157# and place your request by going to option 9: Manage Ac… https://t.co/81ZlnYl6HX"
1119,"@DebraWakanaka Hie Debra, we apologise for your experience. May you please direct message your mobile number for investigation."
1120,"@Sir_Zachi Hey Buddie, kindly check your DM for our response. ^VM"
1121,@zimbabwean1980 Our apologies Twister.
1122,"@ThusoProud15 Our apologies, kindly note we are going to reversed the failed transaction. You will receive a message once done. ^TFM"
1123,"@msande8 Hey Mathias, kindly check your DM for our response. ^VM"
1124,"@supaurch Hey Buddie, we sincerely apologise for the unpleasant experience. Kindly DM us your mobile number and the… https://t.co/dqsh8KnfyG"
1125,"@tudzaa Hie Tudzaa, we have responded to your DM."
1126,"@adreno_junky Hello HashTage, kindly check your DM for our response. ^VM"
1127,"@rosae_j Hi @rosae_j, thank you for getting in touch. May you kindly share your mobile number and state the platfor… https://t.co/1nqdsEDOBb"
1128,"@adreno_junky Hey Buddie, please check your DM for our response. ^VM"
1129,@persistantcoder Noted.
1130,"@bdza26 Hie Bryan, we apologise for your experience. Kindly note that the transaction will be reversed back into yo… https://t.co/5w79Q0AY3c"
1131,@misstariey 🤝
1132,"@bhoqo_ Hi @bhoqo_, apologies for the challenge. May you kindly share your mobile number, date of purchase and amou… https://t.co/SnaYQNQ2f2"
1133,@mapolisaalex Thank you for the feedback. We are working on improving our service provision. ^TM
1134,"@ThusoProud15 @FataJacob Hi @ThusoProud15, may you kindly inform us of the date of purchase and amount so that we can assist. ^MM"
1135,@teekayflamez Thank you for writing us Mzaya. Your DM will be attended to shortly. ^TBR
1136,"@milteezy02 Hey Buddie, please check your DM for our response. ^VM"
1137,@mapolisaalex Hi Alex. That is definitely not the experience we want you to have with our services😕. May you please… https://t.co/9q9MQbOSWg
1138,"@OwenPangaz Hi @OwenPangaz, thank you for the feedback. Our support team is looking into the issue and a reversal w… https://t.co/fHcgE2AHz3"
1139,"@chirembawa Hello Dr Wa, kindly note that we had a system challenge which has since been rectified. ^VM"
1140,"@Angeline_anesu Hey Buddie, kindly note that our support team is looking into the matter. Once the matter has been… https://t.co/Lvg0ctiyEp"
1141,"@Mickey___88 Makadii @Mickey_88, tinokumbirawo kuziwa dambudziko ramasangana naro kuti tikwanise kukubatsirai. ^VM"
1142,"@Tyreg263 Makadii @Tyreg263, tinehurombo nedambudzikpo ramuri kusangana naro. Tinokumbirawo kuti mutitumidzire nham… https://t.co/pSTFkYBgLp"
1143,"@MzukuruG Hey Gudo, we are sorry about that. May you please DM us your mobile number so we can be able to fully assist you. ^TBR"
1144,"@Pascal5550 Makadii Pasacal, tinehurombo nenguva yazvatora kuti dambudziko iri rigadziriswe. Tinokumbirawo kuti mut… https://t.co/B2fm1QnEhO"
1145,"@teekayflamez Hi @teekayflamez, we have responded to your DM. ^MM"
1146,"@TakudzwaMukonza Hey Takudzwa, we appreciate the positive feedback, and we thank you for your continued support🙂. ^TBR"
1147,@SirMutare Thank you for writing us Papi. Your DM will be attended to shortly. ^TBR
1148,"@AnJan829448 Hello AnJan, we sincerely apologise for the unpleasant experience. Kindly get a failed transaction let… https://t.co/s6A1vABClA"
1149,@AMugandani Our apologies for that Alwyn. Kindly bear with us during this time. ^TBR
1150,@KagunaPhillip Hi Phillip. Our sincere apologies for the time it has taken before this issue has been resolved. Kin… https://t.co/uLazSPnbG3
1151,@FidelNyams You are welcome. 🤝
1152,@leemandlamash Hey there! We noticed your tweet. Tell us more details about the issue you're experiencing so we can assist you further. ^TBR
1153,"@Chad_Oz Hie The Initiator, may you please confirm all is well now? ^TFM"
1154,"@NChikengezha Hey Nyasha, thanks for getting in touch with us. We have done a reset on your line. May you please re… https://t.co/PIaqSeRmd0"
1155,"@s_maradha Hie Inini, your number is well provisioned. May we know what type of handset you are using? ^TFM"
1156,@bentavonga2 Makadii Tavonga. Tinehurombo nedambudziko ramuri kusangana naro. Tinokumbirawo kuti mutitumidzire nham… https://t.co/404cSUOwjT
1157,@teekayflamez Tarisa kuDM kwenyu @teekayflamez. ^MM
1158,"@kim_mancube Makadii Kikie, tinokumbirawo kuziwa dambudziko ramasangana naro kuti tiwongorore tikwanise kukubatsirai. ^VM"
1159,@Lukkdube Please check your DM @Lukkdube. ^MM
1160,@shaddymhoka1 Hi Shaddy! May you please let us know the full name in which the line is registered so we can check i… https://t.co/Zb1qUzz0mT
1161,"@ipascals Hi Pascal. May you please send us a direct message with your mobile number, the date of transaction, the… https://t.co/OqAH7T3ef6"
1162,"@decimal_lee Hey Decimal, thank you for getting in touch with us. Your DM will be attended to shortly. ^TBR"
1163,"@BunJumbo @econetzimbabwe Hi @BunJumbo, thank you for the feedback. We are looking into the issue. ^MM"
1164,"@queenkathiey_ Hey Buddie, kindly check your DM for our response. ^VM"
1165,@Kaycee49288162 Makadini Kaycee? Tiziviseiwo dambudziko ramuri kusangana naro kuti tikwanise kukubatsirai zvizere. ^TBR
1166,@lucky_boyce Hi @lucky_boyce. Our sincere apologies for the unpleasant experience. Please note that our technicians… https://t.co/7kbMECn5PG
1167,"@tapiwa_mugabe Hie Tapiwa, if you click or browse pages with Instagram links, the bundle activates. You can check y… https://t.co/bhz0D5w1p9"
1168,"@claudiusmusindo Hey @claudiusmusindo, thank you for writing us. Your DM will be attended to shortly. ^TB R"
1169,"@teekayflamez Hi @teekayflamez, kindly check your DM."
1170,@blackon09493841 Hi there! We are sorry for the unpleasant experience. If you are still facing the same challenge p… https://t.co/hmju0abSuj
1171,"@ndongwetim Hie Timothy, the transfer did not go through. May you please contact CBZ for further assistance. ^TFM"
1172,"@raysea007 Hie Raysean, may we have your mobile number so that we can check and assist. ^TFM"
1173,"@sensei_gu2 Hie Sensei, may you please provide your mobile number so that we can assist. ^TFM"
1174,"@MushureTaurai Hie Taurai, may you please provide your mobile number so that we can check and assist. ^TFM"
1175,"@persistantcoder Hey Buddie, kindly note that if the bundle has not been used, we can reverse the bundle to a bundl… https://t.co/sbW3h5xOiw"
1176,"@tawandachimuzi2 Hie Tawanda, may we have your mobile number so that we can assist. ^TFM"
1177,"@Ambrosinna Hie @Ambrosinna, may you please direct message your mobile number, date of transaction and amount so th… https://t.co/kHFuhWOFZf"
1178,"@fbrad315 Hey Buddie, we really have been. Once it is up an running you will receive a notification. ^VM"
1179,@euclasville You are welcome. 🤝
1180,"@PRECHARDN Hie @PRECHARDN, may you please direct message your mobile number and full transaction confirmation messa… https://t.co/6VM0P3hWc4"
1181,"@tafadzwaeugene Hie Tafadzwa, may you please provide your mobile number so that we can assist you. ^TFM"
1182,"@thetungstenn @EcoCashZW Hi @thetungstenn, thank you for getting in touch. We are making a follow up on the issue."
1183,@ZvenyikaChindo3 Noted with thanks.
1184,@Charega1 @EcoCashZW kindly assist. ^VM
1185,"@Melykyy Hello Melisa, kindly note that we ave checked our DM and our last communication was on the 12th of Decembe… https://t.co/HT43QKchsE"
1186,"@norbszie94 Hie Innobert, we apologise for your experience. Please note that we are retrieving your token. We will… https://t.co/UMzU69sxvV"
1187,"@GodwillChimwan2 Hey Buddie, kindly let us know the bundle that is in question, your mobile number and your present… https://t.co/igCqlBnYAl"
